pos,sql,local,localopt
testdata/logic_test/select:121,"SELECT k,v FROM kv",6899,8482
testdata/logic_test/select:331,SELECT value FROM boolean_table,6009,9611
testdata/logic_test/postgres_jsonb:104,SELECT test_json ->> 2 FROM test_jsonb WHERE json_type = 'scalar',26064,67510
testdata/logic_test/deep_interleaving:117,SELECT * FROM level4 WHERE k1 = 2 AND k2 = 20 AND k3 > 100 AND k3 < 300,51916,67562
testdata/logic_test/collatedstring_constraint:34,SELECT a FROM p ORDER BY a,9376,9293
testdata/logic_test/views:88,SELECT y FROM v2,22060,22110
testdata/logic_test/table:469,SELECT a.public.c.d FROM a.public.c,5983,9679
testdata/logic_test/select:505,"SELECT (NULL::int, NULL::int) NOT IN (SELECT * FROM (VALUES (1, 1)) AS t(a, b) WHERE a > 1)",23918,60705
testdata/logic_test/postgres_jsonb:64,SELECT test_json -> 2 FROM test_jsonb WHERE json_type = 'array',26799,46907
testdata/logic_test/interleaved:152,SELECT * FROM p1_0,6560,9626
testdata/logic_test/aggregate:843,"SELECT bool_and(b), bool_or(b) FROM bools",15070,25295
testdata/logic_test/typing:9,SELECT * FROM f,5374,10068
testdata/logic_test/suboperators:147,"SELECT 1.0 < ANY(SELECT * FROM unnest(ARRAY[1.0, 1.1]))",14979,29532
testdata/logic_test/show_trace:298,"SELECT operation, message FROM [SHOW KV TRACE FOR SESSION]",5999,6742
testdata/logic_test/schema_change_in_txn:41,SELECT * FROM test.child@idx_child_parent_id,6497,9616
testdata/logic_test/postgres_jsonb:141,SELECT (test_json->>3) IS NULL AS expect_true FROM test_jsonb WHERE json_type = 'array';,32300,57979
testdata/logic_test/distinct_on:88,"SELECT DISTINCT ON (c, a, b) b FROM abc ORDER BY b",19432,17591
testdata/logic_test/views:211,SELECT * FROM t,4989,9348
testdata/logic_test/show_trace:270,"SELECT operation, regexp_replace(message, '(\d\d\d\d-\d\d-\d\dT\d\d:\d\d:\d\d\.)?\d\d\d\d\d+', '...P",22103,47275
testdata/logic_test/postgres_jsonb:39,SELECT test_json -> 'field2' FROM test_jsonb WHERE json_type = 'object',27415,50097
testdata/logic_test/delete:23,SELECT * FROM kv,5371,9482
testdata/logic_test/datetime:283,SELECT count(DISTINCT (v)) FROM kv,12034,22213
testdata/logic_test/tuple:129,"SELECT   (1, 1) > (0, NULL) AS a,   (1, 1) > (1, NULL) AS b,   (1, 1) > (2, NULL) AS c,   (1, 1) > (",60280,85753
testdata/logic_test/select:553,"SELECT u + v FROM (SELECT x + 3, y + 10 FROM a) AS foo(u, v)",22518,44436
testdata/logic_test/join:153,SELECT * FROM onecolumn AS a NATURAL FULL OUTER JOIN othercolumn AS b ORDER BY x,20489,49496
testdata/logic_test/join:737,"SELECT t2.x, t1.x, x FROM t1 FULL OUTER JOIN t2 USING(x)",28391,59490
testdata/logic_test/computed:106,"SELECT c, d FROM x",9171,11202
testdata/logic_test/join:695,SELECT * FROM t1 NATURAL JOIN t2,28517,59636
testdata/logic_test/union:157,SELECT v FROM uniontest WHERE k = 1 INTERSECT SELECT v FROM uniontest WHERE k = 2,40644,64292
testdata/logic_test/delete:118,"SELECT k, v FROM unindexed",7089,8116
testdata/logic_test/decimal:227,"SELECT d, d IS NaN, d = 'NaN', isnan(d) FROM s@{FORCE_INDEX=s_d_idx} ORDER BY d, d::TEXT",38736,60826
testdata/logic_test/aggregate:389,"SELECT max(k), min(v) FROM kv HAVING min(v) > 2",32404,59020
testdata/logic_test/ordinal_references:35,"SELECT b, a FROM foo ORDER BY @1",11081,21964
testdata/logic_test/datetime:322,SELECT k FROM kv ORDER BY v,9431,12682
testdata/logic_test/datetime:893,"SELECT b, b::date, c, c::date FROM u WHERE a = 123",31137,54356
testdata/logic_test/postgres_jsonb:109,SELECT test_json ->> 2 FROM test_jsonb WHERE json_type = 'array',26346,50697
testdata/logic_test/join:778,"SELECT s, str1.s, str2.s FROM str1 INNER JOIN str2 USING(s)",19371,42507
